sequence,submitted_seconds,accepted_seconds,credential_deadline,accepted
53,7.761930958000448,7.769713416000741,9132883,True
54,7.916072162001001,7.965355812999405,9132997,True
55,8.091189718999885,8.101297698000053,9133193,True
56,8.208378392999293,8.225176216999898,9133329,True
57,8.338490870000896,8.349629626000024,9133453,True
58,8.455753045000165,8.461753663999843,9133577,True
59,8.56826996900054,8.57432892200086,9133690,True
60,8.680836477000412,8.686746384999424,9133803,True
61,8.79326269000012,8.798943633000817,9133915,True
62,8.905407436001042,8.911906818000716,9134028,True
63,9.018285744999957,9.024962172999949,9134140,True
64,9.14070618200094,9.175003014999675,9134253,True
65,9.283985426000072,9.291630797000835,9134401,True
66,9.402676805000738,9.414875214000858,9134519,True
67,9.530251129001044,9.553076697000506,9134642,True
68,9.661915312999554,9.670129448999432,9134779,True
69,9.776239450000503,9.78962934899937,9134899,True
70,9.939854529000513,9.984464970000772,9135014,True
71,10.0916649589999,10.139654156999313,9135212,True
72,10.262634315000469,10.275451657000303,9135367,True
73,10.381886581999424,10.387748946999636,9135504,True
74,10.493964241000867,10.499732104000941,9135616,True
75,10.622130371999447,10.671063428000707,9135728,True
76,10.77716146900093,10.786202794000928,9135896,True
77,10.894818569000563,10.902351353000995,9136014,True
78,11.008687109000675,11.014278799999374,9136130,True
79,11.125153302000399,11.136757570000555,9136243,True
80,11.243693882001025,11.250311391999276,9136364,True
81,11.35657947800064,11.362285504999818,9136478,True
82,11.469698995999352,11.475323938000656,9136591,True
83,11.581263599000522,11.592694904000382,9136704,True
84,11.708330990000832,11.714332775000003,9136817,True
85,11.821998564999376,11.835494049999397,9136943,True
86,11.94129487400096,11.946883356000399,9137064,True
87,12.05375287500101,12.059439652000947,9137176,True
88,12.166974769999797,12.175107820999983,9137288,True
89,12.291675513000882,12.299849397999424,9137403,True
90,12.409131647000322,12.414947343000676,9137527,True
91,12.525334746000226,12.534739789000014,9137643,True
92,12.708097663000444,12.739828634999867,9137763,True
93,12.846577107000485,12.855074458999297,9137967,True
94,13.001782330000424,13.010144637000849,9138082,True
95,13.15063517499948,13.161806014999456,9138238,True
96,13.267574460000105,13.274050799000179,9138390,True
97,13.38481271099954,13.390841913000259,9138502,True
98,13.503784675000134,13.514570503999494,9138620,True
99,13.643418855999698,13.674173008999787,9138741,True
100,13.780070958000579,13.786222079999789,9138900,True
101,13.894556969000405,13.900683298999866,9139014,True
102,14.006662624000455,14.012448278999727,9139129,True
103,14.126765992999935,14.144239334000304,9139241,True
104,14.250696421000612,14.256973838000704,9139370,True
105,14.369253329999992,14.383832093999445,9139486,True
106,14.490858529999969,14.498827075000008,9139609,True
107,14.605583419999675,14.611633914999402,9139727,True
108,14.72270295800081,14.760594676999972,9139840,True
109,14.866613084999699,14.874640258,9139986,True
110,15.036886498000968,15.047045227000126,9140103,True
111,15.156260387000657,15.164830657000493,9140274,True
112,15.273076290999597,15.283939996999834,9140394,True
113,15.391906790000576,15.399785208001049,9140510,True
114,15.505628901999444,15.51245554200068,9140628,True
115,15.618971838001016,15.628918227999748,9140741,True
116,15.739642218999506,15.756255411999518,9140857,True
117,15.863785276000272,15.87046257899965,9140984,True
118,15.981262989000243,15.990932579999935,9141099,True
119,16.114307075000397,16.145848165000643,9141220,True
120,16.251815818999603,16.25812677900103,9141372,True
121,16.375722619000953,16.39096581600097,9141487,True
122,16.54213717499988,16.55273399900034,9141615,True
123,16.658637484999417,16.663889957999345,9141781,True
124,16.7699696159998,16.77600815200094,9141893,True
125,16.881811011000536,16.88930821000031,9142004,True
126,16.997131497999362,17.00415706000058,9142118,True
127,17.11243856799956,17.12118646700037,9142232,True
128,17.231600405999416,17.24171975900026,9142349,True
129,17.34903990699968,17.358406739000202,9142468,True
130,17.497165598999345,17.511454728999524,9142584,True
131,17.626966845000425,17.634196578999763,9142740,True
132,17.741279013000167,17.74679632600055,9142863,True
133,17.86862406900036,17.901395148999654,9142975,True
134,18.011760085999413,18.040923446000306,9143130,True
135,18.168809265000164,18.196718133000104,9143269,True
136,18.30397236099998,18.30965213700074,9143425,True
137,18.415111401000104,18.420290664000277,9143538,True
138,18.52787885900034,18.5346092460004,9143649,True
139,18.67309305500021,18.68492220400003,9143763,True
140,18.794703498999297,18.802534956999807,9143911,True
141,18.90819897700021,18.913593203000346,9144031,True
142,19.02364517299975,19.035552198000005,9144142,True
143,19.14666265300002,19.156602041999577,9144262,True
144,19.2639452300009,19.270909832001053,9144383,True
145,19.381510731000162,19.391378368000005,9144499,True
146,19.508800949000943,19.518435247000525,9144619,True
147,19.636195586999747,19.647628640999756,9144745,True
148,19.753299658999822,19.75922940000055,9144874,True
149,19.86771624299945,19.873061468000742,9144988,True
150,20.026346294000177,20.03454380400035,9145102,True
151,20.14467569000044,20.15494088000014,9145263,True
152,20.287713699999586,20.293842655000844,9145383,True
153,20.40111583900034,20.406523482999546,9145522,True
154,20.5135012009996,20.523663137999392,9145635,True
155,20.635255728999255,20.64472698099962,9145750,True
156,20.75210458500078,20.761834552000437,9145871,True
157,20.88462744000026,20.892247142999622,9145987,True
158,20.999376824000137,21.004802551000466,9146120,True
159,21.11814285500077,21.141277594999337,9146233,True
160,21.24712623999949,21.261694794000505,9146366,True
161,21.37184563700066,21.381408765999367,9146488,True
