t_seconds,phase,pan_deg,tilt_deg,roll_deg,quaternion_w,quaternion_x,quaternion_y,quaternion_z,mode,generation
0.43946012200103723,preflight,-66.2,-99.7,27.5,0.2960031917013011,0.6937579490051781,-0.4260789440137451,-0.4995385392168491,1,1000000
0.597204686000623,preflight,-66.2,-99.7,27.5,0.2960006520674197,0.6937612121749037,-0.4260795307951598,-0.49953501168051007,1,1000000
0.7570440569998027,preflight,-66.2,-99.7,27.5,0.2960099610687897,0.6937547998970195,-0.4260858940584989,-0.49953297333836666,1,1000000
0.9140515599992796,preflight,-66.2,-99.7,27.5,0.2960097152241536,0.6937543056555044,-0.42608534692740246,-0.49953427210865103,1,1000000
0.9365767060007784,motion,-66.2,-99.7,27.5,0.2960097152241536,0.6937543056555044,-0.42608534692740246,-0.49953427210865103,1,1000000
1.0847712640006648,motion,-66.2,-99.7,27.5,0.29600972474424186,0.6937571293859727,-0.4260822611893212,-0.499532976872166,1,1000000
1.2046938120001869,motion,-66.2,-99.7,27.3,0.2964732675386754,0.6932983464954812,-0.42702156715011574,-0.4990927624903331,1,1000000
1.325487009000426,motion,-66.2,-99.7,27.2,0.29679194372467904,0.6929758256419561,-0.42769214914004466,-0.4987769769946746,1,1000000
1.4632609109994519,motion,-66.2,-99.7,27.1,0.2971161078904705,0.6926555104349171,-0.42836162155435914,-0.49845429426927707,1,1000000
1.5814068700001371,motion,-66.2,-99.7,27,0.2974455834594309,0.6923324190979139,-0.4290280767876072,-0.49813337137200164,1,1000000
1.6958704389999184,motion,-66.2,-99.7,26.8,0.2980931094880552,0.6916796545683332,-0.43036162732705585,-0.49750238517657563,1,1000000
1.809970873000566,motion,-66.2,-99.6,26.7,0.29843037958861585,0.6913466369765162,-0.4310343511317882,-0.4971805750673028,1,1000000
1.9251318349997746,motion,-66.2,-99.6,26.6,0.29875784346992207,0.6910175504082167,-0.43169711914358333,-0.4968662730716992,1,1000000
2.090282888000729,motion,-66.2,-99.6,26.5,0.29907791740645123,0.6906909100402897,-0.4323736871153323,-0.49653948563818073,1,1000000
2.214952436999738,motion,-66.2,-99.6,26.3,0.29973210683789675,0.6900319776677896,-0.43370933583440485,-0.49589590231869674,1,1000000
2.3349616110008355,motion,-66.2,-99.6,26.2,0.30005555094879605,0.6897051047032733,-0.4343679068318134,-0.49557850680352333,1,1000000
2.485096385000361,motion,-66.2,-99.6,26.1,0.30037864660902897,0.6893797429202121,-0.43503480596740884,-0.49525039758640244,1,1000000
2.6055031110008713,motion,-66.2,-99.6,25.8,0.3010277101927731,0.6887180094459434,-0.43636240828487616,-0.49460860263114753,1,1000000
2.7254971180009306,motion,-66.2,-99.6,25.7,0.30135276212192247,0.6883816558822448,-0.43703632529551645,-0.4942837838514411,1,1000000
2.8633267280001746,motion,-66.2,-99.6,25.6,0.3016739185381691,0.6880549182750979,-0.43769594965407227,-0.4939590387549299,1,1000000
3.0095271049995063,motion,-66.2,-99.6,25.4,0.302327668967455,0.6873879493478707,-0.43902837791798427,-0.49330504867752745,1,1000000
3.167828470999666,motion,-66.2,-99.6,25.3,0.3026503101196995,0.6870535781710773,-0.4396931339563506,-0.4929808499915711,1,1000000
3.28861408100056,motion,-66.2,-99.6,25.1,0.30330543481742134,0.6863813122277298,-0.4410244047836419,-0.49232507738280884,1,1000000
3.4069507919994066,motion,-66.2,-99.6,25,0.30362428415896914,0.6860456060190275,-0.44168562060235017,-0.49200359051947534,1,1000000
3.5662744759993075,motion,-66.2,-99.6,24.9,0.30394769979923286,0.6857084244966279,-0.44234174974019064,-0.4916843792494274,1,1000000
3.6967506790006155,motion,-66.2,-99.6,24.7,0.3045806924002518,0.6850441186462398,-0.44366625522905256,-0.4910248581245238,1,1000000
3.825102909000634,motion,-66.2,-99.6,24.6,0.30490542232109974,0.6847041349879508,-0.44433244827934076,-0.4906950237934769,1,1000000
3.9397516879998875,motion,-66.2,-99.6,24.4,0.3052196967831593,0.6843720381006273,-0.4449849533927685,-0.4903715340592532,1,1000000
4.062467308000123,motion,-66.2,-99.5,24.2,0.3058463874153603,0.6837015620760158,-0.4463093495739686,-0.48971228880093504,1,1000000
4.192487039999833,motion,-66.2,-99.5,24.1,0.3061680584483278,0.6833633909417849,-0.4469695977817666,-0.48938101165179326,1,1000000
4.312036240000452,motion,-66.2,-99.5,24,0.3064846127320595,0.6830238764313468,-0.44763014142570534,-0.48905298574937545,1,1000000
4.429210336000324,motion,-66.2,-99.5,23.9,0.3068003138971094,0.6826917641203699,-0.4482856969147776,-0.488718177006426,1,1000000
4.562818538001011,motion,-66.2,-99.5,23.7,0.3074435797539843,0.6820080075816906,-0.44960789524510625,-0.4880535456236065,1,1000000
4.691085013000702,motion,-66.2,-99.5,23.6,0.3077612973587443,0.681663541397821,-0.4502648503858811,-0.4877287818901238,1,1000000
4.808438197000214,motion,-66.3,-99.5,23.5,0.3080729631495752,0.6813285480887354,-0.45091259375976556,-0.48740157131915013,1,1000000
4.942970424001032,motion,-66.2,-99.5,23.4,0.3083960821392921,0.680981117567741,-0.45156666855337957,-0.487077116983469,1,1000000
5.070364208999308,motion,-66.2,-99.5,23.2,0.3090167429271345,0.6802998313675632,-0.45286920534632974,-0.48642602200227153,1,1000000
5.188964008000767,motion,-66.2,-99.5,23.1,0.3093299586272345,0.679960910588233,-0.45351660523919674,-0.4860975473503326,1,1000000
5.306700159000684,motion,-66.3,-99.5,23,0.30964804837359877,0.6796133114695125,-0.4541697530493848,-0.48577120996095025,1,1000000
5.419475802000306,motion,-66.3,-99.5,22.9,0.3099615535925826,0.6792633450296643,-0.4548235479924922,-0.4854489505448587,1,1000000
5.538931082001,motion,-66.3,-99.5,22.8,0.31027649977605304,0.6789185813625933,-0.45547260578271176,-0.4851213857879606,1,1000000
5.6784611490002135,motion,-66.3,-99.5,22.6,0.3108940439996479,0.6782342829650716,-0.45677691954625627,-0.4844563928634169,1,1000000
5.794734552000591,motion,-66.3,-99.5,22.5,0.31121937605467426,0.6778742275632795,-0.457427266382094,-0.4841377154734294,1,1000000
5.910013054000956,motion,-66.3,-99.5,22.4,0.31152802250066985,0.6775328417851816,-0.4580769769895913,-0.4838026691238852,1,1000000
6.023085329999958,motion,-66.3,-99.5,22.3,0.3118387887182672,0.6771874059552928,-0.4587265003619694,-0.4834705626322302,1,1000000
6.149069741999483,motion,-66.3,-99.5,22.1,0.3121503886416751,0.676835953507598,-0.4593730862282266,-0.4831475908658412,1,1000000
6.292468577999898,motion,-66.3,-99.5,22,0.3127711050857049,0.6761367177450575,-0.4606659314571026,-0.4824938075614728,1,1000000
6.408278508999501,motion,-66.2,-99.5,21.9,0.3130777458336914,0.6757922725678455,-0.46131694023917036,-0.4821553795714105,1,1000000
6.524162525000065,motion,-66.3,-99.5,21.8,0.3133873986261301,0.6754414493674393,-0.46196087471046576,-0.4818291575812962,1,1000000
6.641631500000585,motion,-66.3,-99.5,21.6,0.31369501726036453,0.6750915130934849,-0.4626071508208028,-0.4814992306376281,1,1000000
6.761694045000695,motion,-66.3,-99.5,21.5,0.31430945679213773,0.6743922422147545,-0.46389899954901165,-0.4808350935913616,1,1000000
6.873791252000956,motion,-66.3,-99.5,21.3,0.3146182848017904,0.6740432281603067,-0.4645466437543233,-0.48049711468041706,1,1000000
6.992110458000752,motion,-66.3,-99.5,21.2,0.31492760352890226,0.6736896543275492,-0.46518855659838554,-0.4801692003840732,1,1000000
7.119639286000165,motion,-66.3,-99.5,21.1,0.3152356823667481,0.6733373533592342,-0.465835121817033,-0.4798342551503203,1,1000000
7.396475396000824,motion,-66.3,-99.5,20.8,0.3161479935449466,0.6722819990110105,-0.4677662265377104,-0.47883412294231464,1,1000000
7.521247607000987,motion,-66.3,-99.5,20.7,0.31645980187377065,0.6719303665584405,-0.46841004061672087,-0.4784922257927451,1,1000000
7.637313917999563,motion,-66.3,-99.5,20.6,0.3167637514561222,0.6715801801551379,-0.46904941326679683,-0.4781562875256479,1,1000000
7.761864747999425,motion,-66.3,-99.5,20.5,0.31706801218247904,0.671223580767756,-0.4696917712348445,-0.47782467527979083,1,1000000
